credit_score,income_level,debt_ratio,employment_years,payment_history,credit_utilization,account_age,loan_amount,credit_score_alt,income_score,inquiry_count,address_changes,financial_health,random_noise_1,random_noise_2,transaction_volume,spending_pattern,risk_interaction,target
-0.136534622,1.876619103,-2.091596994,0.343999168,2.354541569,-0.253408402,,0.637951993,3.613357587,2.256149172,0.74507123,1.281049937,0.096384601,-0.958778456,-1.33689763,3.605952892,-1.515676396,2.252359079,0
-0.833365472,0.492635445,-1.647989011,-2.72906361,-1.654117494,-0.57941052,-1.89304025,-1.664313291,-2.23921725,1.260597398,-0.207396452,-1.112134289,-0.561080608,-1.352508689,,0.601253563,1.528461271,3.369385906,0
0.376866723,0.549754997,-1.289230656,-1.6045714,1.730025428,2.157766214,2.726339784,2.5474552,1.097402626,0.362137095,0.971532807,-1.59275799,0.321940373,-1.58358839,-1.13047222,1.299611004,1.310845256,2.394138879,0
1.969687397,-2.332329709,0.744707224,-1.452076469,-0.294885472,-2.745736803,2.030859728,-0.627172789,-3.785269893,0.077473859,2.284544785,-0.126074023,0.815186852,0.412998912,-0.657594982,1.985384979,-2.858552219,-2.163915936,0
-0.075977002,2.620016522,-4.850568415,-2.916831101,2.016113413,0.776874908,1.34118714,0.527035349,-0.873864056,-0.065867031,-0.201230062,-0.186332321,1.169386345,,-0.256980373,1.58315224,2.068670237,23.26466209,1
1.028429553,-2.50081777,0.121509965,-1.52384382,-3.71613384,-1.35551945,0.785761612,-1.706063227,-3.372830464,-0.779483936,-0.351205435,-0.935810489,-0.783913847,0.379405398,1.004585384,3.209677879,-2.023813191,-0.728722642,0
3.1544936,-5.352421671,2.364772203,0.317797222,-4.635583075,-0.720008695,1.726485767,-1.248668421,-2.611154248,0.140605274,,1.133497405,-0.102461621,0.690472686,-0.385390846,0.964396539,-1.742732368,3.68083091,0
-2.841771576,1.28033906,-2.535152501,-7.540570833,-1.719321014,0.350523985,0.639983662,0.274898558,-2.207743978,2.317981517,1.301152094,1.839549375,-1.657118518,,-1.902750848,1.356604072,3.624751692,5.349257832,1
-1.836202931,2.795889151,-2.457342713,-3.071367742,-3.76411857,-0.434028528,-3.581191192,1.686402123,-1.666800463,-4.913285257,-0.704211579,0.039132395,0.341441218,0.657763176,1.368081416,0.307353386,0.968259122,7.983941046,0
2.959049224,1.253109909,-3.875139927,1.330223467,-0.301144691,0.806137448,-3.063733686,1.419296844,2.434914151,0.240533898,0.813840065,,2.135336102,-0.069532286,-1.00450816,1.554539009,3.002987829,1.257444087,0
